1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
row_id,t,OMIM no.,Disease Name,Disease Name comments,Gene Affected,Enzyme/protein Defected,EC number/ Protein Entry,Drug name comments,Drug name,Drug ID,Study Type (Evidence code),Mutations improved by treatment,Mutations improved by treatment comments,Mutation that didn't get benefits out the treatment,Mutation that didn't get benefits out the treatment comments,Treatment mechanism of action,Abbreviation for treatment mechanism,new ontology category,Comments(This column will be retired),phenotypes  improved,phenotypes  improved comments,Phenotypes  IDS,Reference,Reference,Reference,Reference,Reference,Reference,Reference,Reference,Reference,Reference,Reference
1,1,202110,17-alpha-hydroxylase deficiency ,,CYP17A1,Steroid 17-alpha-hydroxylase,1.14.14.19,,Hydrocortisone,DB00741,ECO:0000352,,,,,Functional interaction (Mechanistic B),B,metabolite replacement,,Abnormal plasma aldosterone,,HP:0040085,https://www.ncbi.nlm.nih.gov/pubmed/26161337,,https://www.ncbi.nlm.nih.gov/pubmed/18458702,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,Abnormality of potassium homeostasis,,HP:0011042,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,Abnormal circulating renin,,HP:0040084,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,Hypertension,,HP:0000822,,,,,,,,,,,
5,,,,,,,,,Dexamethasone,DB01234,ECO:0000352,,,,,Functional interaction (Mechanistic B),B,metabolite replacement,,Abnormal plasma aldosterone,,HP:0040085,https://www.ncbi.nlm.nih.gov/pubmed/18458702#,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,Hypokalemia,,HP:0002900,https://www.ncbi.nlm.nih.gov/pubmed/27853336,https://www.ncbi.nlm.nih.gov/pubmed/18458702#,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,Abnormal circulating renin,,HP:0040084,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,Hypertension,,HP:0000822,https://www.ncbi.nlm.nih.gov/pubmed/27853336,https://www.ncbi.nlm.nih.gov/pubmed/18458702#,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,Bone mass loss,,NA,,,,,,,,,,,
10,,,,,,,,,Testosterone,DB00624,ECO:0000352,,,,,Functional interaction (Mechanistic B),B,metabolite replacement,,Puberty and gonadal disorders,,HP:0008373,https://www.ncbi.nlm.nih.gov/pubmed/26161337#,,,,,,,,,,
